,Mode,SubModeIndex,BeamStyleIndex,SysTxFreqIndex,TxpgWaveformStyle,TxFocusLocCm,NumTxElements,ProbeNumTxCycles,IsTxChannelModulationEn,IsPresetCpaEn,CpaDelayOffsetClk,ElevAperIndex,SystemPulserSel,VTxIndex,TxPulseRle,isDuplicate,groupIndex,probeId,probeName,maxTxVoltageVolt,ceilTxVoltageVolt,totalVoltagePt,zStartDistCm,DTxFreqIndex,dumpSwVersion,measSetComments,numMeasVoltage,OrgBeamstyleIdx,bsIndexTrace,TxFrequencyHz,profTxVoltageVolt,zMeasNum,AI_param
0,B,0,0,22,2,0.5,7.0,2.0,0,0,0,0,,1,,1,1,10787113,18L6,90,90,20,0.5,0,2024-10-29,Beamstyle_18L6_Intensity,10,0,15,5333300,56.04,45.0,0.9
1,B,0,0,22,2,1.0,14.0,2.0,0,0,0,0,,1,,1,1,10787113,18L6,90,90,20,0.5,0,2024-10-29,Beamstyle_18L6_Intensity,10,0,15,5333300,56.04,45.0,0.9
2,B,0,0,22,2,1.5,21.0,2.0,0,0,0,0,,1,,1,1,10787113,18L6,90,90,20,0.5,0,2024-10-29,Beamstyle_18L6_Intensity,10,0,15,5333300,56.04,45.0,1.0
3,B,0,0,22,2,2.0,28.0,2.0,0,0,0,0,,1,,1,1,10787113,18L6,90,90,20,0.5,0,2024-10-29,Beamstyle_18L6_Intensity,10,0,15,5333300,56.04,45.0,0.9
4,B,0,0,22,2,3.0,44.0,2.0,0,0,0,0,,1,,1,1,10787113,18L6,90,90,20,0.5,0,2024-10-29,Beamstyle_18L6_Intensity,10,0,15,5333300,56.04,45.0,1.1
5,B,0,0,22,2,4.0,48.0,2.0,0,0,0,0,,1,,1,1,10787113,18L6,90,90,20,0.5,0,2024-10-29,Beamstyle_18L6_Intensity,10,0,15,5333300,56.04,75.0,1.1
6,B,0,0,22,2,6.0,51.0,2.0,0,0,0,0,,1,,1,1,10787113,18L6,90,90,20,0.5,0,2024-10-29,Beamstyle_18L6_Intensity,10,0,15,5333300,56.04,75.0,1.2
7,B,0,0,22,2,8.0,53.0,2.0,0,0,0,0,,1,,1,1,10787113,18L6,90,90,20,0.5,0,2024-10-29,Beamstyle_18L6_Intensity,10,0,15,5333300,56.04,115.0,1.2
8,B,0,0,23,2,0.5,7.0,1.5,0,0,0,0,,1,,1,2,10787113,18L6,90,90,20,0.5,0,2024-10-29,Beamstyle_18L6_Intensity,10,0,15,5714300,56.04,45.0,0.8
9,B,0,0,23,2,1.0,14.0,1.5,0,0,0,0,,1,,1,2,10787113,18L6,90,90,20,0.5,0,2024-10-29,Beamstyle_18L6_Intensity,10,0,15,5714300,56.04,45.0,0.9
10,B,0,0,23,2,1.5,21.0,1.5,0,0,0,0,,1,,1,2,10787113,18L6,90,90,20,0.5,0,2024-10-29,Beamstyle_18L6_Intensity,10,0,15,5714300,56.04,45.0,0.9
11,B,0,0,23,2,2.0,28.0,1.5,0,0,0,0,,1,,1,2,10787113,18L6,90,90,20,0.5,0,2024-10-29,Beamstyle_18L6_Intensity,10,0,15,5714300,56.04,45.0,0.9
12,B,0,0,23,2,3.0,37.0,1.5,0,0,0,0,,1,,1,2,10787113,18L6,90,90,20,0.5,0,2024-10-29,Beamstyle_18L6_Intensity,10,0,15,5714300,56.04,45.0,1.0
